y_true,score
0,0.2982628781594351
0,0.2823939138193983
0,0.30351047065389686
0,0.2764209871712701
0,0.2844938445486386
1,0.7433770896648639
1,0.27600491752371514
0,0.3046165607815391
0,0.6678829345357203
0,0.20716646462608707
1,0.7529776188140281
0,0.486971363192758
0,0.7376867758579
0,0.2580664120149152
0,0.25614598433676455
0,0.3077155173305798
0,0.2703474084286947
0,0.37137373265260015
1,0.6906304143825113
0,0.4684642363583851
0,0.23235372705275367
0,0.18361509107804502
1,0.7181190753756447
0,0.4949395809225383
0,0.28568448899250165
0,0.19800146736654256
0,0.51712494684194
0,0.21615406572180598
0,0.29125050053535306
0,0.43381352683387564
0,0.7503677404907981
0,0.2781734829316851
0,0.3838203132005531
0,0.42372969375937236
0,0.6970359944685114
1,0.7070902957430489
1,0.6841254025470991
0,0.7010063015040661
1,0.701105678745221
0,0.3554376774851776
1,0.7154706284062062
1,0.6839962132898003
0,0.4224586145009805
0,0.2535689340923169
0,0.27413341883666625
1,0.6731408998799276
0,0.22239656822050202
0,0.21665847153037898
0,0.32223324961293237
1,0.7312001916495473
0,0.2543558178550822
0,0.3713063576185623
0,0.6381567025609026
0,0.4327807373770604
0,0.3235691870170934
0,0.4268435772788926
0,0.2325700010831583
0,0.7054268383232976
0,0.1997702500741057
0,0.3320757877529254
1,0.7049031861976369
0,0.3013009600665457
0,0.1994578447008868
1,0.7465344505027369
1,0.7201095764174881
0,0.17985308494074193
0,0.7012582568526575
0,0.6501541394235882
1,0.6770969117525641
0,0.23886217997900336
0,0.28921189418470483
0,0.2845259976656475
1,0.6711153612499678
0,0.3741772484934135
0,0.22992050282385013
1,0.6897627400220605
0,0.39104182217677924
1,0.6972863191342591
0,0.31046532729772336
0,0.30456074205481337
0,0.2700019572245529
0,0.35229827131566677
1,0.7588679297081429
0,0.6390327870226826
1,0.6336366031709333
0,0.4375012179158607
0,0.38139889831162826
0,0.2984292007951128
1,0.7252266301253211
1,0.7234887244961076
1,0.6110767708169068
0,0.3138974848719241
0,0.33529073206983373
0,0.42579039375887184
0,0.6908513434072853
0,0.3110606559446708
0,0.5262415303259074
0,0.34351336015317424
0,0.22491133007641959
0,0.3893590428736896
0,0.45495576740937
0,0.26212503536983767
0,0.26329042080179005
1,0.7255755511229418
0,0.28207789142056333
0,0.7103826146859767
1,0.7033059926205373
0,0.22814840434851089
1,0.6572966237231138
1,0.718332847754597
0,0.6269923011083292
0,0.289271735428039
0,0.30861710135045406
0,0.3434631349562696
0,0.323149471993546
0,0.2674594990369939
0,0.37050895178478593
0,0.19725338658020125
0,0.6429692139777866
1,0.6338410334275963
0,0.1778824141992907
0,0.3195104226578716
1,0.7278871335217015
0,0.3225950940246477
1,0.7126013715556354
0,0.28014915142109303
1,0.680168417139023
1,0.7500519480066128
1,0.6466105421674609
0,0.6340347520268742
0,0.3855050405503429
0,0.1807327216335834
0,0.4144163960981164
0,0.5546166521584215
0,0.4344488730294387
0,0.25498820948958245
1,0.33859351492256207
0,0.7100451204977589
0,0.23485355725199583
0,0.3074738625194062
1,0.27361683060927444
1,0.7049005796560956
0,0.5067806589371631
0,0.3292889141048791
0,0.7469637221677912
0,0.20523380418077958
0,0.5152645847030356
1,0.21518210210923294
0,0.23648651503028012
1,0.2680320181232456
0,0.3444752366434878
0,0.36548121685974855
0,0.1748794826891083
0,0.40335423799828285
0,0.22047952314928262
0,0.5531288004574406
0,0.37368174932800363
0,0.4248416313347549
0,0.3672704030730118
0,0.3696993337355616
0,0.7497726492073398
0,0.32437372482187665
0,0.31761673454041467
0,0.237341518861341
0,0.35236227966850037
0,0.47125545378492734
1,0.6633176057496538
1,0.4677809432607731
0,0.19084964653144315
0,0.31014997508082426
0,0.2507437157288975
0,0.20635837040102456
0,0.33209383527392927
0,0.30911714770255655
1,0.6876453084597013
0,0.22838072128751216
0,0.7181649785112716
0,0.19637602812163793
0,0.5367212922044993
0,0.6403660404496047
0,0.29322951327582325
1,0.3425481669130989
0,0.6983675814682662
0,0.2348649318695767
